編號,詞語,語源,義項,詞類,等級,標籤,TL,POJ,方言差,近義詞,反義詞,相關詞,附註,動詞變化,翻譯,,分類
3167,形狀,,4384,名,,,外形、模樣。,,,18321|23951|29913#23390,,,,hîng-tsōng,hêng-chōng,https://sutian.moe.edu.tw/zh-hant/su/3167/#4384,形貌、體積
3168,弄狗相咬,,4385,熟,,,比喻煽動、挑撥使兩方爭鬥。,,,,,,,lōng-káu-sio-kā,lōng-káu-sio-kā,https://sutian.moe.edu.tw/zh-hant/su/3168/#4385,待人處事
3169,扶持,,4386,動,,,攙扶。,,,,,,,hû-tshî,hû-chhî,https://sutian.moe.edu.tw/zh-hant/su/3169/#4386,肢體動作
3169,扶持,,4387,動,,,保護。,,,,,,,hû-tshî,hû-chhî,https://sutian.moe.edu.tw/zh-hant/su/3169/#4387,肢體動作
3170,快活,,4388,形,,,愉快、舒服。,,,10902#14921|22353,3444#4815|12312#16772|27637#22143|30281#23425,,,khuìnn-ua̍h,khùiⁿ-oa̍h,https://sutian.moe.edu.tw/zh-hant/su/3170/#4388,心理狀態|生活狀況
3170,快活,,4389,形,,,形容生活寬裕的。,,,,17966#21862|28219#22456,,,khuìnn-ua̍h,khùiⁿ-oa̍h,https://sutian.moe.edu.tw/zh-hant/su/3170/#4389,心理狀態|生活狀況
3171,忍耐,,4390,動,,,按捺住某種衝動而不宣洩出來。,,,23213,,,,jím-nāi/lím-nāi,jím-nāi/lím-nāi,https://sutian.moe.edu.tw/zh-hant/su/3171/#4390,心理活動
3172,弄風,,4391,動,,,使吹乾。,,,,,,,lāng-hong,lāng-hong,https://sutian.moe.edu.tw/zh-hant/su/3172/#4391,一般動詞-行為動詞
3172,弄風,,4392,動,,,吹風。,,,9520#13082,,,,lāng-hong,lāng-hong,https://sutian.moe.edu.tw/zh-hant/su/3172/#4392,一般動詞-行為動詞
3173,形容,,4393,動,,,對事物的形象或性質加以描述。,,,,,,,hîng-iông,hêng-iông,https://sutian.moe.edu.tw/zh-hant/su/3173/#4393,一般動詞-行為動詞
3174,扶挺,,4394,動,,,拍馬屁、奉承。,,V737,3152#4367,,,,phôo-thánn,phô͘-tháⁿ,https://sutian.moe.edu.tw/zh-hant/su/3174/#4394,交際應酬|待人處事
3174,扶挺,,4395,動,,,托、捧。,,,,,,,phôo-thánn,phô͘-tháⁿ,https://sutian.moe.edu.tw/zh-hant/su/3174/#4395,交際應酬|待人處事
3174,扶挺,,4396,動,,,引申為幫助、扶持。,,,7587#10553,,,,phôo-thánn,phô͘-tháⁿ,https://sutian.moe.edu.tw/zh-hant/su/3174/#4396,交際應酬|待人處事
3175,忍氣,,4397,動,,,將怒氣壓抑下來。,,,,,,,lún-khì,lún-khì,https://sutian.moe.edu.tw/zh-hant/su/3175/#4397,心理活動
3176,志氣,,4398,名,,,志節、氣概。,,,,,,,tsì-khì,chì-khì,https://sutian.moe.edu.tw/zh-hant/su/3176/#4398,心理狀態
3177,扮笑面,,4399,動,,,賠笑臉。,,,19510,,,,pān-tshiò-bīn,pān-chhiò-bīn,https://sutian.moe.edu.tw/zh-hant/su/3177/#4399,交際應酬
3178,忤逆,,4400,動,,,不孝。不順從父母或長輩。,,,659#899,2483#3463,,,ngóo-gi̍k,ngó͘-ge̍k,https://sutian.moe.edu.tw/zh-hant/su/3178/#4400,道德評價|心理活動
3179,弟婦仔,,4401,名,,,弟媳婦。稱謂。稱弟弟的妻子。,,V490,548#734,,,,tē-hū-á,tē-hū-á,https://sutian.moe.edu.tw/zh-hant/su/3179/#4401,稱謂輩分
3180,扭掠,,4402,形,,,形容手腳快、動作敏捷。,,,6948#9656|13729#18598|20226#23179,9141#12564|13844#18729|14289#19310|14452#19513|19008|20134#23178|28195#22439|28333#22573|29229#22916,,,liú-lia̍h,liú-lia̍h,https://sutian.moe.edu.tw/zh-hant/su/3180/#4402,才智能力|境況、狀態-擬人|境況、狀態-擬物
3180,扭掠,,4403,形,,,指器物短小而易操作。,,,,,,,liú-lia̍h,liú-lia̍h,https://sutian.moe.edu.tw/zh-hant/su/3180/#4403,才智能力|境況、狀態-擬人|境況、狀態-擬物
3181,序細,,4404,名,,,晚輩、後輩。,,,240#360|524#706|2182#3045|4967#6962|17797|18984,3154#4369|4641#6521|8303#11482|19063,,,sī-sè/sī-suè,sī-sè/sī-sòe,https://sutian.moe.edu.tw/zh-hant/su/3181/#4404,稱謂輩分
3182,忌喙,,4405,動,,,因生病或其他原因禁吃某些食物。,,V701,9793#13431|11601#15839,,,,khī-tshuì,khī-chhùi,https://sutian.moe.edu.tw/zh-hant/su/3182/#4405,飲食行為
3183,弄喙花,,4406,動,,,花言巧語、油嘴滑舌。,,,,,,,lāng-tshuì-hue,lāng-chhùi-hoe,https://sutian.moe.edu.tw/zh-hant/su/3183/#4406,個性風格|語言、文字、符號
3184,扶插,,4407,動,,,攙扶。用手架住對方的胳膊以支撐對方。,,,,,,,hû-tshah,hû-chhah,https://sutian.moe.edu.tw/zh-hant/su/3184/#4407,肢體動作
3185,形勢,,4408,名,,,情勢、情形。,,,,,,,hîng-sè,hêng-sè,https://sutian.moe.edu.tw/zh-hant/su/3185/#4408,事、物泛稱
3186,扭搦,,4409,動,,,處理、掌管。負面的用法較為常用。,,,,,,,liú-la̍k,liú-la̍k,https://sutian.moe.edu.tw/zh-hant/su/3186/#4409,交際應酬
3187,弄新娘,,4410,動,,,鬧洞房。,,,,,,,lāng-sin-niû,lāng-sin-niû,https://sutian.moe.edu.tw/zh-hant/su/3187/#4410,性別、婚姻|婚喪喜慶
3188,弄獅,,4411,名,,,舞獅。一種民俗活動。相傳是為了驅逐邪惡鬼怪而來。由兩個人分別握住獅頭和獅尾，配合鑼鼓節奏而擺動，另有第三人扮大頭和尚在獅前逗弄，共同合作演出。常在節慶中表演，來增添歡喜熱鬧的氣氛。,,,,,,,lāng-sai,lāng-sai,https://sutian.moe.edu.tw/zh-hant/su/3188/#4411,相關器具、活動
3189,扳過來,,4412,動,,,使一端固定的東西改變方向。,,,,,,,pian--kuè-lâi/pian--kè-lâi,pian--kòe-lâi/pian--kè-lâi,https://sutian.moe.edu.tw/zh-hant/su/3189/#4412,一般動詞-行為動詞
3190,形影,,4413,名,,,行蹤。,,,,,,,hîng-iánn,hêng-iáⁿ,https://sutian.moe.edu.tw/zh-hant/su/3190/#4413,生活狀況
3191,扶養,,4414,動,,,扶育教養下一代。,,,11140#15226|11534#15756|11547#15775|29301#22970,,,,hû-ióng,hû-ióng,https://sutian.moe.edu.tw/zh-hant/su/3191/#4414,生養老死
3192,弄龍,,4415,名,,,舞龍。一種民俗活動。由一群受過訓練的人舞弄用布、竹子做成的長龍，有時飛騰，有時翻躍，配合前頭手拿龍珠開道的人指揮前進。通常在年節慶典或迎神賽會時演出，可增添祥和熱鬧的氣氛。,,,,,,,lāng-lîng,lāng-lêng,https://sutian.moe.edu.tw/zh-hant/su/3192/#4415,相關器具、活動
3193,志願,,4416,名,,,志向和願望。,,,,,,,tsì-guān,chì-goān,https://sutian.moe.edu.tw/zh-hant/su/3193/#4416,心理狀態
3193,志願,,4417,副,,,自願而做、主動。,,,23877,,,,tsì-guān,chì-goān,https://sutian.moe.edu.tw/zh-hant/su/3193/#4417,心理狀態
3194,弄鐃,,4418,動,,,僧道人士在儀式後所進行耍弄鐃鈸等的特技表演，多見於辦完喪事之後。,,,,,,,lāng-lâu,lāng-lâu,https://sutian.moe.edu.tw/zh-hant/su/3194/#4418,相關器具、活動
3195,批,,4419,名,,,信件、書信。,,V018,3235#4493|4692#6589,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4419,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3195,批,,4420,動,,,上級對下級的核定許可或閱覽改正。,,,,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4420,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3195,批,,4421,動,,,評判、評論。,,,,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4421,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3195,批,,4422,動,,,用刀子將物品削成片狀。,,,13470#18269,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4422,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3195,批,,4423,動,,,大量買賣物品。,,,,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4423,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3195,批,,4424,量,,,計算成群的人或物品的單位。,,,,,,,phue,phoe,https://sutian.moe.edu.tw/zh-hant/su/3195/#4424,商業|郵電、網路|一般動詞-行為動詞|數詞、量詞
3196,找,,4425,動,,,買賣時，收到幣值較大的鈔票或硬幣，超過應收的數目，把超過的部分用幣值小的錢幣退還給顧客。,,,3264#4525,,,,tsāu,chāu,https://sutian.moe.edu.tw/zh-hant/su/3196/#4425,財務單位、活動
3197,技,,4426,名,,,才藝、專門的本領。,,,,,,,ki,ki,https://sutian.moe.edu.tw/zh-hant/su/3197/#4426,才智能力
3197,技,,4427,名,,,有專才的人。,,,,,,,ki,ki,https://sutian.moe.edu.tw/zh-hant/su/3197/#4427,才智能力
3198,抄,,4428,動,,,謄寫。,,,,,,,tshau,chhau,https://sutian.moe.edu.tw/zh-hant/su/3198/#4428,教育、學術|法律
3198,抄,,4429,動,,,查緝扣押。,,,,,,,tshau,chhau,https://sutian.moe.edu.tw/zh-hant/su/3198/#4429,教育、學術|法律
3198,抄,,4430,動,,,抄襲。竊錄他人的作品。,,,3272#4534,,,,tshau,chhau,https://sutian.moe.edu.tw/zh-hant/su/3198/#4430,教育、學術|法律
3199,抉,,4431,動,,,用手掌打人的臉。,,,8352#11540|9486#13030|9487#13031|13482#18286,,,,kuat,koat,https://sutian.moe.edu.tw/zh-hant/su/3199/#4431,肢體動作|一般動詞-行為動詞
3199,抉,,4432,動,,,塗抹、粉刷。,,,3942#5517,,,,kuat,koat,https://sutian.moe.edu.tw/zh-hant/su/3199/#4432,肢體動作|一般動詞-行為動詞
3200,把,,4433,動,,,握住、拿著、控制著。,,,,,,,pé,pé,https://sutian.moe.edu.tw/zh-hant/su/3200/#4433,肢體動作|數詞、量詞
3200,把,,4434,量,,,計算一束花、青菜、柴、草等的單位。,,,3274#4538|3700#5174,,,,pé,pé,https://sutian.moe.edu.tw/zh-hant/su/3200/#4434,肢體動作|數詞、量詞
3200,把,,4435,名,,,成束之物。,,,,,,,pé,pé,https://sutian.moe.edu.tw/zh-hant/su/3200/#4435,肢體動作|數詞、量詞
3200,把,,4436,量,,,計算手藝、技藝的單位。,,,,,,,pé,pé,https://sutian.moe.edu.tw/zh-hant/su/3200/#4436,肢體動作|數詞、量詞
3201,抌,,4437,動,,,投、擲、丟 。,,,8348#11533|12480#16995,,,,tìm,tìm,https://sutian.moe.edu.tw/zh-hant/su/3201/#4437,肢體動作
3202,抐,,4438,動,,,攪、攪拌。,,,9478#13012,,,,lā,lā,https://sutian.moe.edu.tw/zh-hant/su/3202/#4438,一般動詞-行為動詞|一般動詞-活動動詞
3202,抐,,4439,動,,,挑起、攪和、慫恿。,,,791#1083|3547#4959|10627#14566,,,,lā,lā,https://sutian.moe.edu.tw/zh-hant/su/3202/#4439,一般動詞-行為動詞|一般動詞-活動動詞
3202,抐,,4440,動,,,吵鬧、生事。,,,2983#4117|2992#4131|2993#4132|6715#9343,,,,lā,lā,https://sutian.moe.edu.tw/zh-hant/su/3202/#4440,一般動詞-行為動詞|一般動詞-活動動詞
3203,抑,,4441,連,,,或、還是。表示選擇關係。,,,,,,,ia̍h,ia̍h,https://sutian.moe.edu.tw/zh-hant/su/3203/#4441,連詞、介詞
3204,抓,,4442,動,,,搔癢。,,,,,,,jiàu/liàu,jiàu/liàu,https://sutian.moe.edu.tw/zh-hant/su/3204/#4442,動物形體、行為|肢體動作
3204,抓,,4443,動,,,用指甲或爪子刮。,,,,,,,jiàu/liàu,jiàu/liàu,https://sutian.moe.edu.tw/zh-hant/su/3204/#4443,動物形體、行為|肢體動作
3205,抔,,4444,動,,,把東西掃成堆再撥進容器中。,,,,,,,put,put,https://sutian.moe.edu.tw/zh-hant/su/3205/#4444,一般動詞-行為動詞
3206,投,,4445,動,,,告狀。,,,,,,,tâu,tâu,https://sutian.moe.edu.tw/zh-hant/su/3206/#4445,肢體動作|交際應酬|一般動詞-行為動詞
3206,投,,4446,動,,,契合。,,,,,,,tâu,tâu,https://sutian.moe.edu.tw/zh-hant/su/3206/#4446,肢體動作|交際應酬|一般動詞-行為動詞
3206,投,,4447,動,,,跳進去。,,,,,,,tâu,tâu,https://sutian.moe.edu.tw/zh-hant/su/3206/#4447,肢體動作|交際應酬|一般動詞-行為動詞
3206,投,,4448,動,,,奔靠。,,,,,,,tâu,tâu,https://sutian.moe.edu.tw/zh-hant/su/3206/#4448,肢體動作|交際應酬|一般動詞-行為動詞
3207,折,,4449,動,,,消減價值。,,,,,,,tsiat,chiat,https://sutian.moe.edu.tw/zh-hant/su/3207/#4449,財務單位、活動|一般動詞-靜態動詞
3207,折,,4450,動,,,折合。,,,,,,,tsiat,chiat,https://sutian.moe.edu.tw/zh-hant/su/3207/#4450,財務單位、活動|一般動詞-靜態動詞
3207,折,,4451,形,,,彎曲。,,,,,,,tsiat,chiat,https://sutian.moe.edu.tw/zh-hant/su/3207/#4451,財務單位、活動|一般動詞-靜態動詞
3208,折,,4452,動,,,折斷、斷裂。,,,,,,,tsi̍h,chi̍h,https://sutian.moe.edu.tw/zh-hant/su/3208/#4452,傷疾病痛|境況、狀態-擬物|一般動詞-行為動詞
3209,改,,4453,動,,,轉變。,,,,,,,kái,kái,https://sutian.moe.edu.tw/zh-hant/su/3209/#4453,一般動詞-行為動詞|數詞、量詞
3209,改,,4454,動,,,戒、戒除。,,,,,,,kái,kái,https://sutian.moe.edu.tw/zh-hant/su/3209/#4454,一般動詞-行為動詞|數詞、量詞
3209,改,,4455,動,,,悔悟。,,,,,,,kái,kái,https://sutian.moe.edu.tw/zh-hant/su/3209/#4455,一般動詞-行為動詞|數詞、量詞
3209,改,,4456,動,,,修正、批閱。,,,,,,,kái,kái,https://sutian.moe.edu.tw/zh-hant/su/3209/#4456,一般動詞-行為動詞|數詞、量詞
3209,改,,4457,量,,,計算次數的單位。,,,797#1102|10147#13935|10149#13945|12482#16999,,,,kái,kái,https://sutian.moe.edu.tw/zh-hant/su/3209/#4457,一般動詞-行為動詞|數詞、量詞
3210,攻,,4458,動,,,攻擊、攻打。,,,,,,,kong,kong,https://sutian.moe.edu.tw/zh-hant/su/3210/#4458,教育、學術|軍事
3210,攻,,4459,動,,,集中灌輸或大量地補充以產生效力。,,,,,,,kong,kong,https://sutian.moe.edu.tw/zh-hant/su/3210/#4459,教育、學術|軍事
3210,攻,,4460,動,,,學習、鑽研。,,,,,,,kong,kong,https://sutian.moe.edu.tw/zh-hant/su/3210/#4460,教育、學術|軍事
3211,旱,,4461,名,,,長期不下雨的情形。,,,,,,,hān,hān,https://sutian.moe.edu.tw/zh-hant/su/3211/#4461,氣候溫度|自然現象
3212,旱,,4462,名,,,長期不下雨的情形。,,,,,,,huānn,hōaⁿ,https://sutian.moe.edu.tw/zh-hant/su/3212/#4462,氣候溫度|自然現象
3213,旱,,4463,名,,,長期不下雨的情形。,,,,,,,uānn,ōaⁿ,https://sutian.moe.edu.tw/zh-hant/su/3213/#4463,氣候溫度|自然現象
3214,更,,4464,量,,,計算夜間時間的單位。古代將一夜分為五更，每更約二小時。,,,,,,,kenn/kinn,keⁿ/kiⁿ,https://sutian.moe.edu.tw/zh-hant/su/3214/#4464,數詞、量詞
3215,杆,,4465,名,,,橫木。,,,,,,,kuainn,koaiⁿ,https://sutian.moe.edu.tw/zh-hant/su/3215/#4465,生活用品
3216,杆,,4466,名,,,長長直直的木棍或鐵棍。,,,,,,,kuann,koaⁿ,https://sutian.moe.edu.tw/zh-hant/su/3216/#4466,事、物泛稱
3217,李,,4467,名,,,木本植物。葉呈橢圓形或倒卵形，葉緣鋸齒狀。春天開白花，果實狀圓味酸，熟時為紅紫色或黃色，可供生食或作蜜餞用。,,,3227#4483,,,,lí,lí,https://sutian.moe.edu.tw/zh-hant/su/3217/#4467,花草樹木|宗族、家庭
3217,李,,4468,名,,,姓氏。,,,,,,,lí,lí,https://sutian.moe.edu.tw/zh-hant/su/3217/#4468,花草樹木|宗族、家庭
3218,杏,,4469,名,,,木本植物。落葉喬木，樹皮帶赤色，葉卵形，春天開淡紅色的花，花、葉像梅，果實扁圓、肥厚，味酸甜，可食，核仁還可以入藥。花和果實都稱「杏」。,,,,,,,hīng,hēng,https://sutian.moe.edu.tw/zh-hant/su/3218/#4469,花草樹木|醫療保健
3219,材,,4470,名,,,木料。樹木中可以運用的部分。,,,,,,,tsâi,châi,https://sutian.moe.edu.tw/zh-hant/su/3219/#4470,植物形體、狀態|事、物泛稱
3219,材,,4471,名,,,原料。,,,6004#8403,,,,tsâi,châi,https://sutian.moe.edu.tw/zh-hant/su/3219/#4471,植物形體、狀態|事、物泛稱
3219,材,,4472,名,,,資料。,,,,,,,tsâi,châi,https://sutian.moe.edu.tw/zh-hant/su/3219/#4472,植物形體、狀態|事、物泛稱
3219,材,,4473,名,,,資質、能力。指內在或外貌。,,,206#321,,,,tsâi,châi,https://sutian.moe.edu.tw/zh-hant/su/3219/#4473,植物形體、狀態|事、物泛稱
3220,村,,4474,名,,,山間或鄉野有人居住的地方。,,,2289#3188,,,,tshun,chhun,https://sutian.moe.edu.tw/zh-hant/su/3220/#4474,地理|居住環境
3220,村,,4475,名,,,行政區畫的單位。,,,,,,,tshun,chhun,https://sutian.moe.edu.tw/zh-hant/su/3220/#4475,地理|居住環境
3221,杓,,4476,名,,,水瓢。用來舀取液體的器具。,,V208,3228#4484,,,,sia̍h,sia̍h,https://sutian.moe.edu.tw/zh-hant/su/3221/#4476,生活用品|數詞、量詞
3221,杓,,4477,量,,,用來計算水或液體的單位。,,,,,,,sia̍h,sia̍h,https://sutian.moe.edu.tw/zh-hant/su/3221/#4477,生活用品|數詞、量詞
3222,杙,,4478,名,,,栓繫獸類或車船用的小木樁。,,,1238#1682|3229#4487|6107#8543,,,,khi̍t,khi̍t,https://sutian.moe.edu.tw/zh-hant/su/3222/#4478,農林業|漁牧業|建築物、結構
3223,技工,,4479,名,,,具備專門技術的工人。,,,,,,,ki-kang,ki-kang,https://sutian.moe.edu.tw/zh-hant/su/3223/#4479,科技、工業
3224,杏仁,,4480,名,,,杏核中的仁，是杏樹的種子，形狀扁圓像心臟，味道甜的可以炒食，味道苦的可入藥。,,,,,,,hīng-jîn/hīng-lîn,hēng-jîn/hēng-lîn,https://sutian.moe.edu.tw/zh-hant/su/3224/#4480,蔬果作物|醫療保健|食物、飲料、煙酒
3225,杏仁茶,,4481,名,,,作法有兩種，一種是將杏仁磨成粉，加以沖泡的飲品。一種是先將再來米磨成米漿，加入一定比例的水，再把杏仁浸水脫膜磨碎，摻入其中，加進適量的糖，然後再煮沸。,,,,,,,hīng-jîn-tê/hīng-lîn-tê,hēng-jîn-tê/hēng-lîn-tê,https://sutian.moe.edu.tw/zh-hant/su/3225/#4481,食物、飲料、煙酒
3226,杉仔,,4482,名,,,杉木。植物名。又稱福杉或廣葉杉。常綠大喬木，樹幹挺拔，材質堅硬細緻，可供建築和製造器具。,,V466,3230#4488|10667#14614,,,,sam-á,sam-á,https://sutian.moe.edu.tw/zh-hant/su/3226/#4482,花草樹木|建築物、結構
3227,李仔,,4483,名,,,李子。李樹的果實，味甘而酸，可作蜜餞或釀酒。,,,3217#4467,,,,lí-á,lí-á,https://sutian.moe.edu.tw/zh-hant/su/3227/#4483,蔬果作物|食物、飲料、煙酒
3228,杓仔,,4484,名,,,杓子。用來舀取液體的器具。,,V208,3221#4476|3901#5460|7441#10339|18979|19715,,,,sia̍h-á,sia̍h-á,https://sutian.moe.edu.tw/zh-hant/su/3228/#4484,生活用品
3229,杙仔,,4485,名,,,木樁。形狀像釘子，下端尖尖可釘入地上。,,,,,,,khi̍t-á,khi̍t-á,https://sutian.moe.edu.tw/zh-hant/su/3229/#4485,農林業|漁牧業|建築物、結構
3229,杙仔,,4486,名,,,車船邊木，用於堆高貨物防止掉落。,,,,,,,khi̍t-á,khi̍t-á,https://sutian.moe.edu.tw/zh-hant/su/3229/#4486,農林業|漁牧業|建築物、結構
3229,杙仔,,4487,名,,,栓繫獸類或車船用的小木樁。如牧人隨身帶著，可隨時打在地上，方便繫牛繩的木樁。,,,1238#1682|3222#4478|6107#8543,,,,khi̍t-á,khi̍t-á,https://sutian.moe.edu.tw/zh-hant/su/3229/#4487,農林業|漁牧業|建築物、結構
3230,杉仔柴,,4488,名,,,杉木。,,,3226#4482|10667#14614,,,,sam-á-tshâ,sam-á-chhâ,https://sutian.moe.edu.tw/zh-hant/su/3230/#4488,花草樹木
3231,李仔鹹,,4489,名,,,蜜餞、鹹李子。用李子製成的一種蜜餞。,,,,,,,lí-á-kiâm,lí-á-kiâm,https://sutian.moe.edu.tw/zh-hant/su/3231/#4489,食物、飲料、煙酒
3232,杜伯仔,,4490,名,,,螻蛄。昆蟲名。身長約三公分，全身為褐色，體形較圓。前肢粗扁有力，擅長掘地，生活在泥土中。除了捕抓小型蟲子為食，也會吃農作物的嫩莖，因此被視為害蟲。,,V268,,,,,tōo-peh-á,tō͘-peh-á,https://sutian.moe.edu.tw/zh-hant/su/3232/#4490,昆蟲類
3233,改良,,4491,動,,,改善、改進。把原本不好的地方加以改進，使它變好。,,,5564#7771|22171|22832,,,,kái-liông,kái-liông,https://sutian.moe.edu.tw/zh-hant/su/3233/#4491,一般動詞-行為動詞
3234,杜定,,4492,名,,,蜥蜴、石龍。爬蟲類動物。尾巴細長易斷，雄體背面是青綠色，雌體背面是淡褐色，腹部則都呈現淡黃色。棲息於草叢中，捕食昆蟲和其他小動物，會冬眠。,,V260,1579#2176|18043,,,,tōo-tīng,tō͘-tēng,https://sutian.moe.edu.tw/zh-hant/su/3234/#4492,爬蟲、兩棲類
3235,批信,,4493,名,,,信件、書信。,,,3195#4419|4692#6589,,,,phue-sìn,phoe-sìn,https://sutian.moe.edu.tw/zh-hant/su/3235/#4493,郵電、網路
3236,抑是,,4494,連,,,或者、或是。,,,,,,,ia̍h-sī,ia̍h-sī,https://sutian.moe.edu.tw/zh-hant/su/3236/#4494,連詞、介詞
3237,投胎,,4495,動,,,靈魂投入母胎，轉生人間。,,,12624#17191,,,,tâu-thai,tâu-thai,https://sutian.moe.edu.tw/zh-hant/su/3237/#4495,相關器具、活動
3238,投降,,4496,動,,,停止抵抗，向敵人認輸。,,,,,,,tâu-hâng,tâu-hâng,https://sutian.moe.edu.tw/zh-hant/su/3238/#4496,軍事
3239,改革,,4497,動,,,革新、變革。把事物中舊而不合理的部分改成新的、適合客觀環境的。,,,,,,,kái-kik,kái-kek,https://sutian.moe.edu.tw/zh-hant/su/3239/#4497,一般動詞-行為動詞
3240,批准,,4498,動,,,上級對下級的請求表示同意。,,,,,,,phue-tsún,phoe-chún,https://sutian.moe.edu.tw/zh-hant/su/3240/#4498,相關用語
3241,技師,,4499,名,,,從事技術工作的專業人員。,,,,,,,ki-su,ki-su,https://sutian.moe.edu.tw/zh-hant/su/3241/#4499,科技、工業
3242,材料,,4500,名,,,一切可供製作的原料或可供取用的資料。,,,6004#8403,,,,tsâi-liāu,châi-liāu,https://sutian.moe.edu.tw/zh-hant/su/3242/#4500,事、物泛稱
3243,批紙,,4501,名,,,信紙、信箋。寫信所用的紙張。,,,,,,,phue-tsuá,phoe-chóa,https://sutian.moe.edu.tw/zh-hant/su/3243/#4501,郵電、網路
3244,抓耙仔,,4502,名,,,搔背爬。搔背的器具。把動物的骨角或是竹子、木頭削作類似人手指的形狀，有長柄，可用來搔抓背部。,,V854,660#900,,,,jiàu-pê-á/liàu-pê-á,jiàu-pê-á/liàu-pê-á,https://sutian.moe.edu.tw/zh-hant/su/3244/#4502,相關用語|生活用品
3244,抓耙仔,,4503,名,,,報馬。指在背地裡打小報告、通風報信的人。,,,8271#11440,,,,jiàu-pê-á/liàu-pê-á,jiàu-pê-á/liàu-pê-á,https://sutian.moe.edu.tw/zh-hant/su/3244/#4503,相關用語|生活用品
3245,杜蚓仔,,4504,名,,,蚯蚓。環節動物。身體圓而細長，環節很多，會鑽土成穴，使土壤疏鬆，因此有益於農事。,,V330,19256,,,,tōo-kún-á,tō͘-kún-á,https://sutian.moe.edu.tw/zh-hant/su/3245/#4504,其他動物
3246,改酒,,4505,動,,,戒酒。禁絕飲酒。,,,,,,,kái-tsiú,kái-chiú,https://sutian.moe.edu.tw/zh-hant/su/3246/#4505,飲食行為
3247,批桶,,4506,名,,,郵筒、信箱。,,,,,,,phue-tháng,phoe-tháng,https://sutian.moe.edu.tw/zh-hant/su/3247/#4506,郵電、網路
3248,投票,,4507,動,,,選舉或表決的一種方式。將意見反應在選票上，再投入票箱。,,,,,,,tâu-phiò,tâu-phiò,https://sutian.moe.edu.tw/zh-hant/su/3248/#4507,政治
3249,改途,,4508,動,,,改行。換職業。,,,,,,,kái-tôo,kái-tô͘,https://sutian.moe.edu.tw/zh-hant/su/3249/#4508,相關用語
3250,把握,,4509,名,,,事物掌握在手上，表示有信心。,,,,,,,pá-ak,pá-ak,https://sutian.moe.edu.tw/zh-hant/su/3250/#4509,心理狀態
3251,改換,,4510,動,,,改變轉換。,,,,,,,kái-uānn,kái-ōaⁿ,https://sutian.moe.edu.tw/zh-hant/su/3251/#4510,一般動詞-行為動詞
3252,批殼,,4511,名,,,信封、信套。裝信件的袋子。,,,3271#4533|18333,,,,phue-khak,phoe-khak,https://sutian.moe.edu.tw/zh-hant/su/3252/#4511,郵電、網路
3253,杜猴,,4512,名,,,蟋蟀。昆蟲名。體型圓長，為黑褐色，觸角細長，後肢長大，很會跳躍。雄蟲翅膀上有發聲器，是利用兩翅摩擦發出聲音的。生性好鬥、怕光，會躲藏在泥土中或石礫下，以植物為食，是農作物的害蟲。,,V268,,,,,tōo-kâu,tō͘-kâu,https://sutian.moe.edu.tw/zh-hant/su/3253/#4512,昆蟲類
3254,批筒,,4513,名,,,郵筒。郵局設立以供人投寄信件的信筒。,,,,,,,phue-tâng,phoe-tâng,https://sutian.moe.edu.tw/zh-hant/su/3254/#4513,郵電、網路
3255,批評,,4514,動,,,對事物提出意見。通常是針對事物的缺點、錯誤提出意見或加以攻擊。,,,,,,,phue-phîng,phoe-phêng,https://sutian.moe.edu.tw/zh-hant/su/3255/#4514,語言、文字、符號
3256,改裝,,4515,動,,,改變機器、器具等原來的裝置。,,,,,,,kái-tsong,kái-chong,https://sutian.moe.edu.tw/zh-hant/su/3256/#4515,相關用語|飲食行為|建築物、結構
3256,改裝,,4516,動,,,房屋改變裝潢或重新裝潢。,,,,,,,kái-tsong,kái-chong,https://sutian.moe.edu.tw/zh-hant/su/3256/#4516,相關用語|飲食行為|建築物、結構
3257,投資,,4517,動,,,以資本、財物或勞務，直接或間接投入企業 ，以獲得利益的行為。,,,288#420|9371#12876|9895#13605,,,,tâu-tsu,tâu-chu,https://sutian.moe.edu.tw/zh-hant/su/3257/#4517,財務單位、活動
3258,改運,,4518,動,,,民間信仰上改變原來的命運或運氣的儀式。多藉助算命先生或江湖術士的操作。,,,10038#13784,,,,kái-ūn,kái-ūn,https://sutian.moe.edu.tw/zh-hant/su/3258/#4518,相關器具、活動
3259,抄寫,,4519,動,,,照原文謄寫。,,,18335|29466#23090,,,,tshau-siá,chhau-siá,https://sutian.moe.edu.tw/zh-hant/su/3259/#4519,教育、學術|相關器具、活動
