編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
576,公,白,kang,kang,kang1,kang1,576(1).mp3,動物形體、行為,主詞目
577,公,文,kong,kong,kong1,kong1,577(1).mp3,地位、身世、背景|稱謂輩分|境況、狀態-擬事|性質、程度,主詞目
578,六,白,la̍k,la̍k,lak8,lak8,578(1).mp3,數詞、量詞,主詞目
579,六,文,lio̍k,lio̍k,liok8,liok8,579(1).mp3,數詞、量詞,主詞目
580,冇,替,phànn,phàⁿ,phann3,phaⁿ3,580(1).mp3,生活狀況|建築物、結構|性質、程度,主詞目
581,冗,,līng,lēng,ling7,leng7,581(1).mp3,形貌、體積|性質、程度|一般動詞-靜態動詞,主詞目
582,冗,,liōng,liōng,liong7,liong7,582(1).mp3,性質、程度,主詞目
583,凶,,hiong,hiong,hiong1,hiong1,583(1).mp3,個性風格|境況、狀態-擬事,主詞目
584,分,文,hun,hun,hun1,hun1,584(1).mp3,一般動詞-行為動詞|數詞、量詞,主詞目
585,分,白,pun,pun,pun1,pun1,585(1).mp3,一般動詞-行為動詞,主詞目
586,切,,tshiat,chhiat,chhiat4,chhiat4,586(1).mp3,一般動詞-行為動詞,主詞目
587,勻,替,ûn,ûn,un5,un5,587(1).mp3,稱謂輩分|數詞、量詞,主詞目
588,勼,,kiu,kiu,kiu1,kiu1,588(1).mp3,氣質態度|一般動詞-活動動詞,主詞目
589,勾,,kau,kau,kau1,kau1,589(1).mp3,一般動詞-行為動詞,主詞目
590,內䘥仔,,lāi-kah-á,lāi-kah-á,lai7-kah4-a2,lai7-kah4-a2,590(1).mp3,衣帽鞋襪,主詞目
591,中人,,tiong-lâng,tiong-lâng,tiong1-lang5,tiong1-lang5,591(1).mp3,服務業及其他,主詞目
592,允人,,ín--lâng/ún--lâng,ín--lâng/ún--lâng,in2--lang5/un2--lang5,in2--lang5/un2--lang5,592(1).mp3,一般動詞-行為動詞,主詞目
593,不才,,put-tsâi,put-châi,put4-chai5,put4-chai5,593(1).mp3,稱謂輩分,主詞目
