編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
1,一,替,tsi̍t,chi̍t,chit8,chit8,1(1).mp3,性質、程度|數詞、量詞,主詞目
2,一,,it,it,it4,it4,2(1).mp3,性質、程度|數詞、量詞,主詞目
3,一刀兩斷,,it-to-lióng-tuān,it-to-lióng-toān,it4-to1-liong2-tuan7,it4-to1-liong2-toan7,3(1).mp3,交際應酬,主詞目
4,一下,,tsi̍t-ē,chi̍t-ē,chit8-e7,chit8-e7,4(1).mp3,性質、程度|助詞、嘆詞|副詞,主詞目
5,一月日,,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t,chit8 goeh8-jit8/chit8 geh8-lit8,chit8 goeh8-jit8/chit8 geh8-lit8,5(1).mp3,時間節令,主詞目
6,一日到暗,,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm,chit8-jit8-kau3-am3/chit8-lit8-kau3-am3,chit8-jit8-kau3-am3/chit8-lit8-kau3-am3,6(1).mp3,時間節令,主詞目
7,一世人,,tsi̍t-sì-lâng,chi̍t-sì-lâng,chit8-si3-lang5,chit8-si3-lang5,7(1).mp3,時間節令|生養老死,主詞目
8,一半,,tsi̍t-puànn,chi̍t-pòaⁿ,chit8-poann3,chit8-poaⁿ3,8(1).mp3,性質、程度|數詞、量詞,主詞目
9,一半个仔,,tsi̍t-puànn-ê-á,chi̍t-pòaⁿ-ê-á,chit8-poann3-e5-a2,chit8-poaⁿ3-e5-a2,9(1).mp3,數詞、量詞,主詞目
10,一半日仔,,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á,chit8-poann3-jit8-a2/chit8-poann3-lit8-a2,chit8-poaⁿ3-jit8-a2/chit8-poaⁿ3-lit8-a2,10(1).mp3,時間節令,主詞目
11,一四界,,tsi̍t-sì-kè/tsi̍t-sì-kuè,chi̍t-sì-kè/chi̍t-sì-kòe,chit8-si3-ke3/chit8-si3-koe3,chit8-si3-ke3/chit8-si3-koe3,11(1).mp3,空間方位,主詞目
12,一旦,,it-tàn,it-tàn,it4-tan3,it4-tan3,12(1).mp3,事、物泛稱|副詞,主詞目
13,一生,,it-sing,it-seng,it4-sing1,it4-seng1,13(1).mp3,時間節令|生養老死,主詞目
14,一目𥍉仔,,tsi̍t-ba̍k-nih-á,chi̍t-ba̍k-nih-á,chit8-bak8-nih4-a2,chit8-bak8-nih4-a2,14(1).mp3,時間節令,主詞目
15,一甲子,,tsi̍t kah-tsí,chi̍t kah-chí,chit8 kah4-chi2,chit8 kah4-chi2,15(1).mp3,時間節令|生養老死,主詞目
16,一百空一,,tsi̍t-pah khòng-it,chi̍t-pah khòng-it,chit8-pah4 khong3-it4,chit8-pah4 khong3-it4,16(1).mp3,數詞、量詞,主詞目
17,一來,,it--lâi,it--lâi,it4--lai5,it4--lai5,17(1).mp3,副詞,主詞目
18,一定,,it-tīng,it-tēng,it4-ting7,it4-teng7,18(1).mp3,時間節令|境況、狀態-擬事|副詞,主詞目
19,一直,,it-ti̍t,it-ti̍t,it4-tit8,it4-tit8,19(1).mp3,副詞,主詞目
20,一律,,it-lu̍t,it-lu̍t,it4-lut8,it4-lut8,20(1).mp3,副詞,主詞目
21,一致,,it-tì,it-tì,it4-ti3,it4-ti3,21(1).mp3,性質、程度,主詞目
22,一面,,tsi̍t-bīn,chi̍t-bīn,chit8-bin7,chit8-bin7,22(1).mp3,副詞,主詞目
23,一垺屎,,tsi̍t-pû-sái,chi̍t-pû-sái,chit8-pu5-sai2,chit8-pu5-sai2,23(1).mp3,廢棄物,主詞目
24,一屑仔,,tsi̍t-sut-á,chi̍t-sut-á,chit8-sut4-a2,chit8-sut4-a2,24(1).mp3,性質、程度,主詞目
25,一家伙仔,,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,chi̍t-ke-hóe-á/chi̍t-ke-hé-á,chit8-ke1-hoe2-a2/chit8-ke1-he2-a2,chit8-ke1-hoe2-a2/chit8-ke1-he2-a2,25(1).mp3,宗族、家庭,主詞目
26,一般,,it-puann,it-poaⁿ,it4-puann1,it4-poann1,26(1).mp3,性質、程度,主詞目
27,一粒一,,it-lia̍p-it,it-lia̍p-it,it4-liap8-it4,it4-liap8-it4,27(1).mp3,性質、程度,主詞目
28,一睏仔,,tsi̍t-khùn-á,chi̍t-khùn-á,chit8-khun3-a2,chit8-khun3-a2,28(1).mp3,時間節令,主詞目
29,一概,,it-khài,it-khài,it4-khai3,it4-khai3,29(1).mp3,性質、程度,主詞目
30,一路,,tsi̍t-lōo,chi̍t-lō͘,chit8-loo7,chit8-lo͘7,30(1).mp3,旅行,主詞目
31,一寡,,--tsi̍t-kuá,--chi̍t-kóa,--tsit8-kua2,--chit8-koa2,31(1).mp3,性質、程度,主詞目
32,一寡仔,,tsi̍t-kuá-á,chi̍t-kóa-á,chit8-koa2-a2,chit8-koa2-a2,32(1).mp3,性質、程度,主詞目
33,一對時,,tsi̍t tuì-sî,chi̍t tùi-sî,chit8 tui3-si5,chit8 tui3-si5,33(1).mp3,時間節令,主詞目
34,一霎仔久,,tsi̍t-tiap-á-kú,chi̍t-tiap-á-kú,chit8-tiap4-a2-ku2,chit8-tiap4-a2-ku2,34(1).mp3,時間節令,主詞目
35,一點仔,,tsi̍t-tiám-á,chi̍t-tiám-á,chit8-tiam2-a2,chit8-tiam2-a2,35(1).mp3,性質、程度,主詞目
36,一礐屎,,tsi̍t-ha̍k-sái,chi̍t-ha̍k-sái,chit8-hak8-sai2,chit8-hak8-sai2,36(1).mp3,廢棄物|境況、狀態-擬人|境況、狀態-擬物,主詞目
37,一觸久仔,,tsi̍t-tak-kú-á,chi̍t-tak-kú-á,chit8-tak4-ku2-a2,chit8-tak4-ku2-a2,37(1).mp3,時間節令,主詞目
38,乙,,it,it,it4,it4,38(1).mp3,時間節令|性質、程度,主詞目
39,丁,,ting,teng,teng1,teng1,39(1).mp3,時間節令|泛稱|宗族、家庭,主詞目
40,七,,tshit,chhit,chhit4,chhit4,40(1).mp3,數詞、量詞,主詞目
41,九,白,káu,káu,kau2,kau2,41(1).mp3,性質、程度|數詞、量詞,主詞目
42,九,文,kiú,kiú,kiu2,kiu2,42(1).mp3,性質、程度|數詞、量詞,主詞目
43,了,,liáu,liáu,liau2,liau2,43(1).mp3,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞,主詞目
44,二,,jī/lī,jī/lī,ji7/li7,ji7/li7,44(1).mp3,數詞、量詞,主詞目
45,人,,jîn/lîn,jîn/lîn,jin5/lin5,jin5/lin5,45(1).mp3,泛稱,主詞目
46,人,替,lâng,lâng,lang5,lang5,46(1).mp3,泛稱,主詞目
47,入,,ji̍p/li̍p,ji̍p/li̍p,jip8/lip8,jip8/lip8,47(1).mp3,財務單位、活動|一般動詞-行為動詞,主詞目
48,八,文,pat,pat,pat4,pat4,48(1).mp3,數詞、量詞,主詞目
49,八,白,peh/pueh,peh/poeh,peh4/poeh4,peh4/poeh4,49(1).mp3,數詞、量詞,主詞目
50,刀,,to,to,to1,to1,50(1).mp3,生活用品|數詞、量詞,主詞目
51,刁,,tiau,tiau,tiau1,tiau1,51(1).mp3,心理狀態|待人處事,主詞目
52,力,白,la̍t,la̍t,lat8,lat8,52(1).mp3,反應、表情,主詞目
53,力,文,li̍k,le̍k,lik8,lek8,53(1).mp3,事、物泛稱,主詞目
54,十,白,tsa̍p,cha̍p,chap8,chap8,54(1).mp3,性質、程度|數詞、量詞,主詞目
55,十,文,si̍p,si̍p,sip8,sip8,55(1).mp3,性質、程度|數詞、量詞,主詞目
56,卜,替,poh,poh,poh4,poh4,56(1).mp3,宗族、家庭|心理活動|相關器具、活動,主詞目
57,卜,,pok,pok,pok4,pok4,57(1).mp3,宗族、家庭|心理活動|相關器具、活動,主詞目
58,又,,iū,iū,iu7,iu7,58(1).mp3,副詞,主詞目
59,十一哥,,tsa̍p-it-ko,cha̍p-it-ko,chap8-it4-ko1,chap8-it4-ko1,59(1).mp3,泛稱|性別、婚姻,主詞目
60,了了,,liáu-liáu,liáu-liáu,liau2-liau2,liau2-liau2,60(1).mp3,境況、狀態-擬事|副詞,主詞目
61,了了,,--liáu-liáu,--liáu-liáu,--liau2-liau2,--liau2-liau2,61(1).mp3,境況、狀態-擬事|副詞,主詞目
62,人人,,lâng-lâng,lâng-lâng,lang5-lang5,lang5-lang5,62(1).mp3,泛稱,主詞目
63,十二分,,tsa̍p-jī-hun/tsa̍p-lī-hun,cha̍p-jī-hun/cha̍p-lī-hun,chap8-ji7-hun1/chap8-li7-hun1,chap8-ji7-hun1/chap8-li7-hun1,63(1).mp3,性質、程度,主詞目
64,十二生相,,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,cha̍p-jī seⁿ-siùⁿ/cha̍p-lī siⁿ-siùⁿ,chap8-ji7 senn1-siunn3/chap8-li7 sinn1-siunn3,chap8-ji7 seⁿ1-siuⁿ3/chap8-li7 siⁿ1-siuⁿ3,64(1).mp3,神明、鬼怪、教派,主詞目
65,十二指腸,,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,si̍p-jī-chí-tn̂g/si̍p-lī-chí-tn̂g,sip8-ji7-chi2-tng5/sip8-li7-chi2-tng5,sip8-ji7-chi2-tng5/sip8-li7-chi2-tng5,65(1).mp3,生理構造,主詞目
66,二九暝,,Jī-káu-mê/Lī-káu-mî,Jī-káu-mê/Lī-káu-mî,Ji7-kau2-me5/Li7-kau2-mi5,Ji7-kau2-me5/Li7-kau2-mi5,66(1).mp3,時間節令,主詞目
67,十八骰仔,,si̍p-pat-tâu-á,si̍p-pat-tâu-á,sip8-pat4-tau5-a2,sip8-pat4-tau5-a2,67(1).mp3,休閒、娛樂,主詞目
68,十八變,,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,cha̍p-peh-piàn/cha̍p-poeh-piàn,chap8-peh4-pian3/chap8-poeh4-pian3,chap8-peh4-pian3/chap8-poeh4-pian3,68(1).mp3,才智能力|形貌、體積|境況、狀態-擬事,主詞目
69,七夕,,tshit-sia̍h,chhit-sia̍h,chhit4-siah8,chhit4-siah8,69(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
70,了工,,liáu-kang,liáu-kang,liau2-kang1,liau2-kang1,70(1).mp3,一般動詞-行為動詞,主詞目
71,人工,,lâng-kang,lâng-kang,lang5-kang1,lang5-kang1,71(1).mp3,泛稱|服務業及其他|錢財資產,主詞目
72,人才,,lâng-tsâi,lâng-châi,lang5-tsai5,lang5-tsai5,72(1).mp3,體態樣貌,主詞目
73,入土,,ji̍p-thóo/li̍p-thóo,ji̍p-thó͘/li̍p-thó͘,jip8-thoo2/lip8-thoo2,jip8-thou2/lip8-thou2,73(1).mp3,生養老死,主詞目
74,刁工,,thiau-kang,thiau-kang,thiau1-kang1,thiau1-kang1,74(1).mp3,心理狀態,主詞目
75,人中,,jîn-tiong/lîn-tiong,jîn-tiong/lîn-tiong,jin5-tiong1/lin5-tiong1,jin5-tiong1/lin5-tiong1,75(1).mp3,生理構造,主詞目
76,七孔,,tshit-khóng,chhit-khóng,chhit4-khong2,chhit4-khong2,76(1).mp3,生理構造,主詞目
77,九孔,,káu-kháng,káu-kháng,kau2-khang2,kau2-khang2,77(1).mp3,魚蝦海獸|食物、飲料、煙酒,主詞目
78,二手,,jī-tshiú/lī-tshiú,jī-chhiú/lī-chhiú,ji7-tshiu2/li7-tshiu2,ji7-chhiu2/li7-chhiu2,78(1).mp3,地位、身世、背景|相關用語,主詞目
79,入木,,ji̍p-bo̍k/li̍p-bo̍k,ji̍p-bo̍k/li̍p-bo̍k,jip8-bok8/lip8-bok8,jip8-bok8/lip8-bok8,79(1).mp3,生養老死|婚喪喜慶,主詞目
80,八仙,,pat-sian,pat-sian,pat4-sian1,pat4-sian1,80(1).mp3,神明、鬼怪、教派,主詞目
81,刀仔,,to-á,to-á,to1-a2,to1-a2,81(1).mp3,生活用品,主詞目
82,八仙桌,,pat-sian-toh,pat-sian-toh,pat4-sian1-toh4,pat4-sian1-toh4,82(1).mp3,生活用品|相關器具、活動,主詞目
83,八仙綵,,pat-sian-tshái,pat-sian-chhái,pat4-sian1-chhai2,pat4-sian1-chhai2,83(1).mp3,婚喪喜慶|相關器具、活動,主詞目
84,刁古董,,tiau-kóo-tóng,tiau-kó͘-tóng,tiau1-koo2-tong2,tiau1-ko͘2-tong2,84(1).mp3,心理狀態|待人處事,主詞目
85,了本,,liáu-pún,liáu-pún,liau2-pun2,liau2-pun2,85(1).mp3,財務單位、活動,主詞目
86,人民,,jîn-bîn/lîn-bîn,jîn-bîn/lîn-bîn,jin5-bin5/lin5-bin5,jin5-bin5/lin5-bin5,86(1).mp3,國家、社會、民眾,主詞目
87,人生,,jîn-sing/lîn-sing,jîn-seng/lîn-seng,jin5-sing1/lin5-sing1,jin5-seng1/lin5-seng1,87(1).mp3,生養老死,主詞目
88,刀石,,to-tsio̍h,to-chio̍h,to1-chioh8,to1-chioh8,88(1).mp3,生活用品,主詞目
89,十全,,tsa̍p-tsn̂g,cha̍p-chn̂g,chap8-chng5,chap8-chng5,89(1).mp3,性質、程度,主詞目
90,十全,,si̍p-tsuân,si̍p-choân,sip8-choan5,sip8-choan5,90(1).mp3,醫療保健|性質、程度,主詞目
91,八字,,peh-jī/pueh-lī,peh-jī/poeh-lī,peh4-ji7/poeh4-li7,peh4-ji7/poeh4-li7,91(1).mp3,生養老死|相關器具、活動,主詞目
92,七字仔,,tshit-jī-á/tshit-lī-á,chhit-jī-á/chhit-lī-á,chhit4-ji7-a2/chhit4-li7-a2,chhit4-ji7-a2/chhit4-li7-a2,92(1).mp3,文學、藝術|戲劇、音樂,主詞目
93,十字架,,si̍p-jī-kè/si̍p-lī-kè,si̍p-jī-kè/si̍p-lī-kè,sip8-ji7-ke3/sip8-li7-ke3,sip8-ji7-ke3/sip8-li7-ke3,93(1).mp3,神明、鬼怪、教派|相關器具、活動,主詞目
94,八字跤,,pat-jī-kha/pat-lī-kha,pat-jī-kha/pat-lī-kha,pat4-ji7-kha1/pat4-li7-kha1,pat4-ji7-kha1/pat4-li7-kha1,94(1).mp3,體態樣貌,主詞目
95,十字路,,si̍p-jī-lōo/si̍p-lī-lōo,si̍p-jī-lō͘/si̍p-lī-lō͘,sip8-ji7-loo7/sip8-li7-loo7,sip8-ji7-lo͘7/sip8-li7-lo͘7,95(1).mp3,道路、橋梁,主詞目
96,七早八早,,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,chhit-chá-peh-chá/chhit-chá-poeh-chá,chhit4-cha2-peh4-cha2/chhit4-cha2-poeh4-cha2,chhit4-cha2-peh4-cha2/chhit4-cha2-poeh4-cha2,96(1).mp3,時間節令,主詞目
97,入耳,,ji̍p-ní/li̍p-ní,ji̍p-ní/li̍p-ní,jip8-ni2/lip8-ni2,jip8-ni2/lip8-ni2,97(1).mp3,反應、表情,主詞目
98,刀肉,,to-bah,to-bah,to1-bah4,to1-bah4,98(1).mp3,生活用品,主詞目
99,七老八老,,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,chhit-lāu-peh-lāu/chhit-lāu-poeh-lāu,chhit4-lau7-peh4-lau7/chhit4-lau7-poeh4-lau7,chhit4-lau7-peh4-lau7/chhit4-lau7-poeh4-lau7,99(1).mp3,生養老死,主詞目
100,了尾仔囝,,liáu-bué-á-kiánn/liáu-bé-á-kiánn,liáu-bóe-á-kiáⁿ/liáu-bé-á-kiáⁿ,liau2-bue2-a2-kiann2/liau2-be2-a2-kiann2,liau2-boe2-a2-kiann2/liau2-be2-a2-kiann2,100(1).mp3,宗族、家庭,主詞目
101,二步七仔,,--jī-pōo-tshit-á/--lī-pōo-tshit-á,--jī-pō͘-chhit-á/--lī-pō͘-chhit-á,--ji7-poo7-tshit4-a2,--ji7-po͘7-chhit4-a2,101(1).mp3,才智能力,主詞目
102,八角,,peh-kak/pueh-kak,peh-kak/poeh-kak,peh4-kak4/poeh4-kak4,peh4-kak4/poeh4-kak4,102(1).mp3,食物、飲料、煙酒|形貌、體積,主詞目
103,十足,,tsa̍p-tsiok,cha̍p-chiok,chap8-chiok4,chap8-chiok4,103(1).mp3,性質、程度,主詞目
104,九芎仔,,kiú-kiong-á,kiú-kiong-á,kiu2-kiong1-a2,kiu2-kiong1-a2,104(1).mp3,花草樹木|醫療保健,主詞目
105,人事,,jîn-sū/lîn-sū,jîn-sū/lîn-sū,jin5-su7/lin5-su7,jin5-su7/lin5-su7,105(1).mp3,服務業及其他|交際應酬,主詞目
106,八卦,,pat-kuà,pat-kòa,pat4-koa3,pat4-koa3,106(1).mp3,魚蝦海獸|相關器具、活動,主詞目
107,卜卦,,pok-kuà,pok-kòa,pok4-koa3,pok4-koa3,107(1).mp3,相關器具、活動,主詞目
108,二房,,jī-pâng/lī-pâng,jī-pâng/lī-pâng,ji7-pang5/li7-pang5,ji7-pang5/li7-pang5,108(1).mp3,宗族、家庭|稱謂輩分,主詞目
109,人物,,jîn-bu̍t/lîn-bu̍t,jîn-bu̍t/lîn-bu̍t,jin5-but8/lin5-but8,jin5-but8/lin5-but8,109(1).mp3,才智能力|戲劇、音樂,主詞目
110,十花五色,,tsa̍p-hue-gōo-sik,cha̍p-hoe-gō͘-sek,chap8-hoe1-goo7-sek4,chap8-hoe1-go͘7-sek4,110(1).mp3,境況、狀態-擬人|境況、狀態-擬事,主詞目
111,入門,,ji̍p-mn̂g/li̍p-mn̂g,ji̍p-mn̂g/li̍p-mn̂g,jip8-mng5/lip8-mng5,jip8-mng5/lip8-mng5,111(1).mp3,性別、婚姻|房屋租賃、搬遷|教育、學術|性質、程度,主詞目
112,人客,,lâng-kheh,lâng-kheh,lang5-kheh4,lang5-kheh4,112(1).mp3,相關用語|婚喪喜慶|交際應酬,主詞目
113,了後,,liáu-āu,liáu-āu,liau2-au7,liau2-au7,113(1).mp3,時間節令,主詞目
114,七星,,tshit-tshenn/tshit-tshinn,chhit-chheⁿ/chhit-chhiⁿ,chhit4-chhenn1/chhit4-chhinn1,chhit4-chheⁿ1/chhit4-chhiⁿ1,114(1).mp3,天文,主詞目
115,二指,,jī-tsáinn/lī-tsáinn,jī-cháiⁿ/lī-cháiⁿ,ji7-tsainn2/li7-tsainn2,ji7-tsainn2/li7-tsainn2,115(1).mp3,生理構造,主詞目
116,刁持,,tiau-tî,tiau-tî,tiau1-ti5,tiau1-ti5,116(1).mp3,心理狀態,主詞目
117,刁故意,,tiau-kòo-ì,tiau-kò͘-ì,tiau1-koo3-i3,tiau1-ko͘3-i3,117(1).mp3,心理狀態,主詞目
118,刀柄,,to-pènn/to-pìnn,to-pèⁿ/to-pìⁿ,to1-penn3/to1-pinn3,to1-peⁿ3/to1-piⁿ3,118(1).mp3,生活用品,主詞目
119,八珍,,pat-tin,pat-tin,pat4-tin1,pat4-tin1,119(1).mp3,道德評價|醫療保健|食物、飲料、煙酒,主詞目
120,人面,,lâng-bīn,lâng-bīn,lang5-bin7,lang5-bin7,120(1).mp3,交際應酬,主詞目
121,人倫,,jîn-lûn/lîn-lûn,jîn-lûn/lîn-lûn,jin5-lun5/lin5-lun5,jin5-lun5/lin5-lun5,121(1).mp3,組織團體|交際應酬,主詞目
122,人員,,jîn-uân/lîn-uân,jîn-oân/lîn-oân,jin5-uan5/lin5-uan5,jin5-oan5/lin5-oan5,122(1).mp3,服務業及其他|相關用語,主詞目
123,入厝,,ji̍p-tshù/li̍p-tshù,ji̍p-chhù/li̍p-chhù,jip8-tshu3/lip8-tshu3,jip8-chhu3/lip8-chhu3,123(1).mp3,房屋租賃、搬遷,主詞目
124,七娘媽,,Tshit-niû-má,Chhit-niû-má,Chhit4-niu5-ma2,Chhit4-niu5-ma2,124(1).mp3,神明、鬼怪、教派,主詞目
125,七娘媽生,,Tshit-niû-má-senn/Tshit-niû-má-sinn,Chhit-niû-má-seⁿ/Chhit-niû-má-siⁿ,Chhit4-niu5-ma2-senn1/Chhit4-niu5-ma2-sinn1,Chhit4-niu5-ma2-seⁿ1/Chhit4-niu5-ma2-siⁿ1,125(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
126,人家,,jîn-ke/lîn-ke,jîn-ke/lîn-ke,jin5-ke1/lin5-ke1,jin5-ke1/lin5-ke1,126(1).mp3,宗族、家庭,主詞目
127,人家厝仔,,jîn-ke-tshù-á/lîn-ke-tshù-á,jîn-ke-chhù-á/lîn-ke-chhù-á,jin5-ke1-tshu3-a2/lin5-ke1-tshu3-a2,jin5-ke1-chhu3-a2/lin5-ke1-chhu3-a2,127(1).mp3,建築物、結構,主詞目
128,八家將,,pat-ka-tsiòng,pat-ka-chiòng,pat4-ka1-chiong3,pat4-ka1-chiong3,128(1).mp3,神明、鬼怪、教派,主詞目
129,人格,,jîn-keh/lîn-keh,jîn-keh/lîn-keh,jin5-keh4/lin5-keh4,jin5-keh4/lin5-keh4,129(1).mp3,道德評價,主詞目
130,人氣,,jîn-khì/lîn-khì,jîn-khì/lîn-khì,jin5-khi3/lin5-khi3,jin5-khi3/lin5-khi3,130(1).mp3,交際應酬,主詞目
131,刀砧,,to-tiam,to-tiam,to1-tiam1,to1-tiam1,131(1).mp3,生活用品|飲食物具,主詞目
132,人馬,,jîn-má/lîn-má,jîn-má/lîn-má,jin5-ma2/lin5-ma2,jin5-ma2/lin5-ma2,132(1).mp3,組織團體,主詞目
133,入院,,ji̍p-īnn/li̍p-īnn,ji̍p-īⁿ/li̍p-īⁿ,jip8-inn7/lip8-inn7,jip8-inn7/lip8-inn7,133(1).mp3,醫療保健,主詞目
134,人參,,jîn-sim/lîn-sim,jîn-sim/lîn-sim,jin5-sim1/lin5-sim1,jin5-sim1/lin5-sim1,134(1).mp3,蔬果作物|醫療保健,主詞目
135,人情,,jîn-tsîng/lîn-tsîng,jîn-chêng/lîn-chêng,jin5-tsing5/lin5-tsing5,jin5-cheng5/lin5-cheng5,135(1).mp3,交際應酬,主詞目
136,人情世事,,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,jîn-chêng-sè-sū/lîn-chêng-sè-sū,jin5-tsing5-se3-su7/lin5-tsing5-se3-su7,jin5-cheng5-se3-su7/lin5-cheng5-se3-su7,136(1).mp3,交際應酬,主詞目
137,入教,,ji̍p-kàu/li̍p-kàu,ji̍p-kàu/li̍p-kàu,jip8-kau3/lip8-kau3,jip8-kau3/lip8-kau3,137(1).mp3,相關器具、活動,主詞目
138,人望,,jîn-bōng/lîn-bōng,jîn-bōng/lîn-bōng,jin5-bong7/lin5-bong7,jin5-bong7/lin5-bong7,138(1).mp3,地位、身世、背景,主詞目
139,人造,,jîn-tsō/lîn-tsō,jîn-chō/lîn-chō,jin5-tso7/lin5-tso7,jin5-tso7/lin5-tso7,139(1).mp3,性質、程度,主詞目
140,刀喙,,to-tshuì,to-chhùi,to1-chhui3,to1-chhui3,140(1).mp3,傷疾病痛|生活用品,主詞目
141,入場,,ji̍p-tiûnn/li̍p-tiûnn,ji̍p-tiûⁿ/li̍p-tiûⁿ,jip8-tiunn5/lip8-tiunn5,jip8-tiunn5/lip8-tiunn5,141(1).mp3,戲劇、音樂,主詞目
142,了然,,liáu-jiân/liáu-liân,liáu-jiân/liáu-liân,liau2-jian5/liau2-lian5,liau2-jian5/liau2-lian5,142(1).mp3,境況、狀態-擬事,主詞目
143,力量,,li̍k-liōng,le̍k-liōng,lik8-liong7,lek8-liong7,143(1).mp3,才智能力,主詞目
144,刁意故,,thiau-ì-kòo,thiau-ì-kò͘,thiau1-i3-koo3,thiau1-i3-ko͘3,144(1).mp3,心理狀態,主詞目
145,七爺,,Tshit-iâ,Chhit-iâ,Chhit4-ia5,Chhit4-ia5,145(1).mp3,神明、鬼怪、教派,主詞目
146,刀銎,,to-khing,to-kheng,to1-kheng1,to1-kheng1,146(1).mp3,生活用品,主詞目
147,又閣,,iū-koh,iū-koh,iu7-koh4,iu7-koh4,147(1).mp3,副詞,主詞目
148,人影,,lâng-iánn,lâng-iáⁿ,lang5-iann2,lang5-iann2,148(1).mp3,泛稱,主詞目
149,九層塔,,káu-tsàn-thah,káu-chàn-thah,kau2-tsan3-thah4,kau2-tsan3-thah4,149(1).mp3,蔬果作物|食物、飲料、煙酒,主詞目
150,人範,,lâng-pān,lâng-pān,lang5-pan7,lang5-pan7,150(1).mp3,道德評價,主詞目
151,人緣,,lâng-iân,lâng-iân,lang5-ian5,lang5-ian5,151(1).mp3,交際應酬,主詞目
152,入學,,ji̍p-o̍h/li̍p-o̍h,ji̍p-o̍h/li̍p-o̍h,jip8-oh8/lip8-oh8,jip8-oh8/lip8-oh8,152(1).mp3,教育、學術,主詞目
153,入選,,ji̍p-suán/li̍p-suán,ji̍p-soán/li̍p-soán,jip8-suan2/lip8-suan2,jip8-soan2/lip8-soan2,153(1).mp3,事、物泛稱,主詞目
154,了錢,,liáu-tsînn,liáu-chîⁿ,liau2-tsinn5,liau2-chinn5,154(1).mp3,錢財資產,主詞目
155,人頭,,lâng-thâu,lâng-thâu,lang5-thau5,lang5-thau5,155(1).mp3,生理構造|交際應酬|數詞、量詞,主詞目
156,力頭,,la̍t-thâu,la̍t-thâu,lat8-thau5,lat8-thau5,156(1).mp3,才智能力,主詞目
157,入殮,,ji̍p-liām/li̍p-liām,ji̍p-liām/li̍p-liām,jip8-liam7/lip8-liam7,jip8-liam7/lip8-liam7,157(1).mp3,生養老死|婚喪喜慶,主詞目
158,入聲,,ji̍p-siann/li̍p-siann,ji̍p-siaⁿ/li̍p-siaⁿ,jip8-siann1/lip8-siann1,jip8-siann1/lip8-siann1,158(1).mp3,語言、文字、符號,主詞目
159,刁難,,thiau-lân,thiau-lân,thiau1-lan5,thiau1-lan5,159(1).mp3,心理狀態|待人處事,主詞目
160,人權,,jîn-khuân/lîn-khuân,jîn-khoân/lîn-khoân,jin5-khuan5/lin5-khuan5,jin5-khoan5/lin5-khoan5,160(1).mp3,法律,主詞目
161,丈,白,tn̄g,tn̄g,tng7,tng7,161(1).mp3,數詞、量詞,主詞目
162,三,文,sam,sam,sam1,sam1,162(1).mp3,數詞、量詞,主詞目
163,三,白,sann,saⁿ,sann1,saⁿ1,163(1).mp3,數詞、量詞,主詞目
164,上,白,tsiūnn,chiūⁿ,chiunn7,chiuⁿ7,164(1).mp3,肢體動作,主詞目
165,上,白,tshiūnn,chhiūⁿ,chhiunn7,chhiuⁿ7,165(1).mp3,肢體動作,主詞目
166,上,文,siōng,siōng,siong7,siong7,166(1).mp3,空間方位|性質、程度|副詞,主詞目
167,下,白,ē,ē,e7,e7,167(1).mp3,空間方位|性質、程度|數詞、量詞,主詞目
168,下,文,hā,hā,ha7,ha7,168(1).mp3,空間方位|性質、程度|數詞、量詞,主詞目
169,下,白,hē,hē,he7,he7,169(1).mp3,心理活動,主詞目
170,低,替,kē,kē,ke7,ke7,170(1).mp3,空間方位|地位、身世、背景|才智能力|性質、程度,主詞目
171,个,,ê,ê,e5,e5,171(1).mp3,代名詞|數詞、量詞,主詞目
172,丸,,uân,oân,oan5,oan5,172(1).mp3,事、物泛稱|數詞、量詞,主詞目
173,久,白,kú,kú,ku2,ku2,173(1).mp3,時間節令|性質、程度,主詞目
174,么,,io,io,io1,io1,174(1).mp3,數詞、量詞,主詞目
175,乞,,khit,khit,khit4,khit4,175(1).mp3,交際應酬,主詞目
176,也,,iā,iā,ia7,ia7,176(1).mp3,連詞、介詞,主詞目
177,亡,,bông,bông,bong5,bong5,177(1).mp3,生養老死,主詞目
178,凡,,huân,hoân,huan5,hoan5,178(1).mp3,事、物泛稱,主詞目
